"stationId","lat","lon","elev","stationName","longRecord"
749,51.53,3.89999999999999,1.6,"Wilhelminadorp",FALSE
750,51.42,4.16999999999999,1.3,"Rilland",FALSE
751,51.59,3.58,16.2,"Vrouwenpolder",FALSE
752,51.6899999999999,3.71,3,"Haamstede",FALSE
754,51.43,3.81999999999999,1.1,"Ovezande",FALSE
755,51.57,3.83,0.7,"Kortgene",FALSE
756,51.49,3.58999999999999,-0.9,"Middelburg",FALSE
757,51.53,4.21,-0.7,"Tholen",FALSE
758,51.53,3.74,0.8,"Wolphaartsdijk",FALSE
760,51.4699999999999,3.77,1.2,"'s-Heerenhoek",FALSE
762,51.3599999999999,3.54999999999999,1.2,"Schoondijke",FALSE
763,51.3699999999999,3.39999999999999,1,"Cadzand",FALSE
764,51.38,4.03,0.6,"Kloosterzande",FALSE
827,51.56,5.08,11.2,"Tilburg",TRUE
828,51.5799999999999,4.53,1.2,"Oudenbosch",TRUE
829,51.4699999999999,4.66,11,"Zundert",FALSE
830,51.8299999999999,5.13999999999999,1.1,"Herwijnen",TRUE
831,51.46,5.12999999999999,22,"Esbeek",TRUE
832,51.5099999999999,4.25,2.1,"Bergen op Zoom",TRUE
833,51.64,4.87999999999999,5,"Oosterhout",TRUE
834,51.5099999999999,4.87,11.5,"Chaam",TRUE
835,51.78,5.05999999999999,1.4,"Andel",TRUE
836,51.84,4.98,0,"Gorinchem",TRUE
837,51.59,4.33,0.6,"Steenbergen",FALSE
838,51.5499999999999,4.75,5,"Ginneken",FALSE
839,51.43,4.30999999999999,19,"Hoogerheide",FALSE
840,51.77,4.92999999999999,-0.1,"Nieuwendijk",FALSE
841,51.6599999999999,4.53,-0.1,"Klundert",FALSE
843,51.56,4.92999999999999,14.3,"Gilze-Rijen (VB)",FALSE
844,51.68,4.98,1,"Capelle",FALSE
896,51.46,5.59999999999999,17.5,"Helmond",TRUE
899,51.5499999999999,5.67999999999999,13.2,"Gemert",TRUE
901,51.7199999999999,5.41,6.8,"Nuland",TRUE
902,51.42,5.48,18.1,"Eindhoven",TRUE
903,51.82,5.55999999999999,5.9,"Megen",TRUE
904,51.3999999999999,5.69,23,"Someren",TRUE
905,51.63,5.87999999999999,17,"Sint Anthonis",TRUE
906,51.5099999999999,5.33,16.1,"Oirschot",TRUE
907,51.5799999999999,5.33,8.5,"Boxtel",FALSE
908,51.45,5.76999999999999,26,"Deurne",FALSE
909,51.68,5.79,16.8,"Mill",FALSE
910,51.75,5.21999999999999,2.5,"Ammerzoden",FALSE
911,51.6499999999999,5.49,9.6,"Dinther",FALSE
912,51.3299999999999,5.53,25,"Leende",FALSE
914,51.7599999999999,5.54,4.1,"Oss",FALSE
915,51.35,5.25,30,"Eersel",FALSE
918,51.31,5.58999999999999,28.2,"Maarheeze",FALSE
961,51.18,5.96,19.9,"Roermond",TRUE
963,50.8599999999999,5.83999999999999,80,"Valkenburg",TRUE
964,51.25,5.7,32.1,"Weert",TRUE
965,50.8999999999999,6.01999999999999,140,"Schaesberg",TRUE
966,50.9399999999999,5.87,80,"Schinnen",TRUE
968,50.78,6.00999999999999,180,"Vaals",TRUE
969,50.96,5.75999999999999,51,"Stein",FALSE
970,51.1899999999999,5.71999999999999,31,"Stramproy",FALSE
973,50.93,5.80999999999999,115,"Beek (Vliegveld Zuid-Limburg)",FALSE
974,51.0399999999999,5.80999999999999,33.5,"Buchten",FALSE
